Extension
Extension,1591464024.3683877,-0.87 , 0.24 , 0.01 , 0.96 , -3.89 , 0.00
Extension,1591464024.5926912,-3.98 , -3.78 , 1.30 , 1.48 , -6.08 , 0.00
Extension,1591464024.8020427,17.26 , -1.05 , -8.38 , 1.43 , -11.06 , 0.00
Extension,1591464025.0226548,36.94 , 0.47 , 8.33 , 2.80 , -10.45 , 0.00
Extension,1591464025.2389407,35.47 , -1.57 , 7.11 , 2.57 , -11.22 , 0.00
Extension,1591464025.4552753,24.69 , -2.85 , 2.14 , 1.27 , -11.96 , 0.00
Extension,1591464025.6673,17.81 , -2.77 , 0.44 , 0.75 , -12.93 , 0.00
Extension,1591464025.884463,12.15 , -2.41 , 1.07 , 0.23 , -14.08 , 0.00
Extension,1591464027.5214064,8.68 , -2.54 , 0.19 , 0.08 , -14.63 , 0.00
Extension,1591464027.6235824,5.72 , -2.16 , 0.90 , 0.04 , -15.10 , 0.00
Extension,1591464027.726297,3.88 , -1.86 , 1.52 , 0.09 , -15.51 , 0.00
Extension,1591464027.8317232,2.16 , -2.35 , 0.45 , 0.15 , -15.91 , 0.00
Extension,1591464027.9375029,1.02 , -2.61 , 0.25 , 0.26 , -15.55 , 0.00
Extension,1591464028.0437021,0.05 , -2.51 , 0.10 , 0.34 , -15.53 , 0.00
Extension,1591464028.1458964,-1.20 , -2.04 , 0.68 , 0.53 , -16.04 , 0.00
Extension,1591464028.2485852,-1.95 , -1.87 , 0.49 , 0.71 , -15.93 , 0.00
Extension,1591464028.3515432,-2.72 , -1.88 , 0.37 , 0.87 , -15.72 , 0.00
Extension,1591464028.4562922,-1.05 , -2.90 , -2.25 , 1.06 , -14.98 , 0.00
Extension,1591464028.5626802,25.42 , -1.51 , -19.54 , 2.19 , -14.84 , 0.00
Extension,1591464028.6708632,39.46 , -1.16 , 2.37 , 1.39 , -14.62 , 0.00
Extension,1591464028.7803493,48.32 , 2.16 , 9.98 , 2.04 , -14.55 , 0.00
Extension,1591464028.9183495,29.50 , -4.14 , 4.09 , -0.20 , -16.55 , 0.00
Extension,1591464029.1336138,17.96 , -4.82 , 1.29 , -0.74 , -15.97 , 0.00
Extension,1591464029.350327,10.44 , -4.38 , 0.56 , -0.89 , -15.82 , 0.00
Extension,1591464029.5645406,6.29 , -5.06 , 0.46 , -0.85 , -15.27 , 0.00
Extension,1591464031.1823661,2.83 , -6.96 , 1.41 , -0.01 , -12.28 , 0.00
Extension,1591464031.2838843,0.69 , -8.66 , 0.67 , 0.26 , -9.91 , 0.00
Extension,1591464031.3927453,-0.54 , -8.75 , -1.25 , 1.41 , -9.96 , 0.00
Extension,1591464031.5051012,-0.44 , -10.39 , 3.21 , 2.41 , -5.74 , 0.00
Extension,1591464031.6144261,1.61 , -9.49 , -1.27 , 5.36 , 0.40 , 0.00
Extension,1591464031.729348,2.88 , -2.74 , -0.56 , 4.44 , -0.77 , 0.00
Extension,1591464031.8409739,3.87 , -1.51 , 0.28 , 2.42 , -6.40 , 0.00
Extension,1591464031.9494905,2.93 , -4.06 , 0.29 , 4.72 , -3.11 , 0.00
Extension,1591464032.0572505,2.48 , -4.65 , 0.22 , 4.04 , -2.80 , 0.00
Extension,1591464032.1681457,4.22 , -6.71 , -5.39 , 2.97 , -2.23 , 0.00
Extension,1591464032.2760816,25.01 , -2.97 , -10.51 , 3.43 , -2.29 , 0.00
Extension,1591464032.3822472,41.13 , -0.91 , 8.44 , 3.39 , -1.95 , 0.00
Extension,1591464032.4873037,23.65 , -13.06 , -1.07 , 1.31 , -2.45 , 0.00
Extension,1591464032.6052582,14.99 , -11.27 , 6.29 , 0.73 , -1.13 , 0.00
Extension,1591464032.820887,7.86 , -10.61 , -0.83 , 0.78 , -0.71 , 0.00
Extension,1591464033.0376866,4.26 , -9.05 , 0.94 , 0.36 , -0.86 , 0.00
Extension,1591464033.2533774,0.79 , -8.74 , -1.33 , 0.92 , -0.32 , 0.00
Extension,1591464034.8867154,-1.19 , -8.14 , 1.84 , 0.66 , -0.17 , 0.00
Extension,1591464035.0016792,-2.45 , -8.00 , 0.76 , 0.54 , -0.31 , 0.00
Extension,1591464035.1038425,-3.50 , -7.63 , -0.18 , 0.53 , -0.47 , 0.00
Extension,1591464035.216546,-4.29 , -7.61 , 0.79 , 0.67 , -0.01 , 0.00
Extension,1591464035.3232732,-4.96 , -7.23 , 0.48 , 0.74 , 0.21 , 0.00
Extension,1591464035.424781,-5.52 , -7.23 , 0.19 , 0.91 , 0.49 , 0.00
Extension,1591464035.537725,-6.09 , -7.38 , 0.24 , 1.42 , 1.16 , 0.00
Extension,1591464035.6462011,-6.61 , -7.21 , 0.84 , 1.63 , 1.33 , 0.00
Extension,1591464035.7562664,-7.14 , -7.07 , 0.97 , 1.53 , 0.73 , 0.00
Extension,1591464035.8650694,18.08 , -10.89 , -8.98 , 4.06 , -1.28 , 0.00
Extension,1591464035.9756424,36.17 , -6.96 , 4.18 , 2.71 , -2.63 , 0.00
